교재,레벨,구간,Chapter,영어,뜻
절대수능-map,Basic,Basic1,4,comfort,"편안, 안락"
절대수능-map,Basic,Basic1,4,modern ,"현대의, 근대의"
절대수능-map,Basic,Basic1,4,progress,"발전, 진전"
절대수능-map,Basic,Basic1,4,frustration,"불만, 좌절감"
절대수능-map,Basic,Basic1,4,association,협회
절대수능-map,Basic,Basic1,4,barren,황량한
절대수능-map,Basic,Basic1,4,deforestation,삼림 벌채
절대수능-map,Basic,Basic1,4,effective,효과적인
절대수능-map,Basic,Basic1,4,overlook,간과하다
절대수능-map,Basic,Basic1,4,quality,(사람의) 자질 
절대수능-map,Basic,Basic1,4,progression,진행
절대수능-map,Basic,Basic1,4,phrase,"구, 구절"
절대수능-map,Basic,Basic1,5,recreational ,레크리에이션(오락)의
절대수능-map,Basic,Basic1,5,persuade,설득하다
절대수능-map,Basic,Basic1,5,compete,경쟁하다
절대수능-map,Basic,Basic1,5,auction,경매하다
절대수능-map,Basic,Basic1,5,compare,비교하다 
절대수능-map,Basic,Basic1,5,imagine ,상상하다 
절대수능-map,Basic,Basic1,5,rate,비율
절대수능-map,Basic,Basic1,5,moderately,적당히
절대수능-map,Basic,Basic1,5,instruction,"교육, 지시"
절대수능-map,Basic,Basic1,5,mortality ,"사망률, 사망자 수"
절대수능-map,Basic,Basic1,5,partial,"부분적인, 일부분의"
절대수능-map,Basic,Basic1,5,expose,노출시키다
절대수능-map,Basic,Basic1,5,contribution,"기여, 기부금"
절대수능-map,Basic,Basic1,5,perennial,"지속되는, 영원한"
절대수능-map,Basic,Basic1,5,objective ,객관적인
절대수능-map,Basic,Basic1,5,damage,"손상, 피해"
절대수능-map,Basic,Basic1,5,major,주요한
절대수능-map,Basic,Basic1,5,attempt ,시도
절대수능-map,Basic,Basic1,5,hollow,(속이) 빈
절대수능-map,Basic,Basic1,5,origin,"기원, 유래"
절대수능-map,Basic,Basic1,5,aspiration ,"열망, 포부"
절대수능-map,Basic,Basic1,5,oxygen,산소
절대수능-map,Basic,Basic1,5,satellite,인공위성
절대수능-map,Basic,Basic1,5,deadly,치명적인
절대수능-map,Basic,Basic1,5,infection,감염
절대수능-map,Basic,Basic1,5,burrow,"굴, 피난처"
절대수능-map,Basic,Basic1,5,canned,통조림으로 된
절대수능-map,Basic,Basic1,5,young,(동물의) 새끼들
절대수능-map,Basic,Basic1,5,nearly,거의
절대수능-map,Basic,Basic1,5,mature,"다 자란, 성숙한"
